Job Family,Job Family Abbreviation,Headcount,Median Salary,Total Salary Spend ($MMs),Tooltip
Customer Service,Customer Service,552,$36k,$21.9,"Customer Service
Headcount:552;
Median Salary:$36k"
Tech,Tech,162,$120k,$20.5,"Tech
Headcount:162;
Median Salary:$120k"
Merchandising,Merchandising,148,$110k,$16.0,"Merchandising
Headcount:148;
Median Salary:$110k"
Marketing,Marketing,80,$78k,$7.3,"Marketing
Headcount:80;
Median Salary:$78k"
Supply Chain,Supply Chain,102,$55k,$6.9,"Supply Chain
Headcount:102;
Median Salary:$55k"
Finance,Finance,59,$91k,$6.4,"Finance
Headcount:59;
Median Salary:$91k"
E-Commerce,E-Commerce,81,$52k,$5.2,"E-Commerce
Headcount:81;
Median Salary:$52k"
Human Resources,HR,62,$70k,$4.9,"Human Resources
Headcount:62;
Median Salary:$70k"
Brand Strategy and Marketing,Marketing,50,$81k,$4.7,"Brand Strategy and Marketing
Headcount:50;
Median Salary:$81k"
Executive Level,Exec,11,$355k,$3.6,"Executive Level
Headcount:11;
Median Salary:$355k"
Executive Support,Exec Support,28,$90k,$2.8,"Executive Support
Headcount:28;
Median Salary:$90k"
Legal,Legal,9,$115k,$1.3,"Legal
Headcount:9;
Median Salary:$115k"
Independent Business Unit,Indp Biz Unit,19,$44k,$1.2,"Independent Business Unit
Headcount:19;
Median Salary:$44k"
Concepts,Concepts,4,$90k,$0.4,"Concepts
Headcount:4;
Median Salary:$90k"
